"iso_code","location","month","population","total_cases","total_deaths","new_cases","icu_patients","hosp_patients","new_tests","total_tests","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations"
"ABW","Aruba",2020-03-01,107195,55,0,55,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2020-04-01,107195,100,2,45,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2020-05-01,107195,101,3,1,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2020-06-01,107195,103,3,2,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2020-07-01,107195,121,3,18,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2020-08-01,107195,2006,10,1885,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2020-09-01,107195,3963,27,1957,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2020-10-01,107195,4513,38,550,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2020-11-01,107195,4845,45,332,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2020-12-01,107195,5489,49,644,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2021-01-01,107195,6966,59,1477,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2021-02-01,107195,7891,73,925,0,0,0,0,0,0,0,0,0
"ABW","Aruba",2021-03-01,107195,9443,86,1552,0,0,0,0,25766,15600,10166,0,0
"ABW","Aruba",2021-04-01,107195,10638,99,1195,0,0,0,0,76865,54306,22559,0,32484
"ABW","Aruba",2021-05-01,107195,10985,107,347,0,0,0,0,114154,63113,51041,0,32613
"ABW","Aruba",2021-06-01,107195,11138,107,153,0,0,0,0,127256,67827,59429,0,12377
"ABW","Aruba",2021-07-01,107195,11730,110,592,0,0,0,0,138509,72793,65716,0,9009
"ABW","Aruba",2021-08-01,107195,14576,146,2846,0,0,0,0,148225,78669,69556,0,6486
"ABW","Aruba",2021-09-01,107195,15500,166,924,0,0,0,0,156179,81374,74805,0,7158
"ABW","Aruba",2021-10-01,107195,15925,171,425,0,0,0,0,159406,82650,76756,0,2639
"ABW","Aruba",2021-11-01,107195,16354,174,429,0,0,0,0,161643,83640,78003,0,1775
"ABW","Aruba",2021-12-01,107195,20461,181,4107,0,0,0,0,163759,84751,79008,0,1328
"ABW","Aruba",2022-01-01,107195,33000,193,12539,0,0,0,0,166440,86627,79813,0,2050
"ABW","Aruba",2022-02-01,107195,33684,211,684,0,0,0,0,167820,87378,80442,0,1180
"ABW","Aruba",2022-03-01,107195,33732,212,48,0,0,0,0,168036,87485,80551,0,133
"AFG","Afghanistan",2020-02-01,39835428,5,0,5,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-03-01,39835428,166,4,NA,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-04-01,39835428,1827,60,1661,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-05-01,39835428,15180,254,13353,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-06-01,39835428,31445,739,16265,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-07-01,39835428,36628,1275,5183,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-08-01,39835428,38248,1406,1620,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-09-01,39835428,39354,1462,1106,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-10-01,39835428,41334,1533,1980,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-11-01,39835428,46215,1763,4881,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2020-12-01,39835428,52330,2189,6115,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2021-01-01,39835428,55023,2400,2693,0,0,0,0,0,0,0,0,0
"AFG","Afghanistan",2021-02-01,39835428,55714,2443,691,0,0,0,0,8200,8200,0,0,0
"AFG","Afghanistan",2021-03-01,39835428,56454,2484,740,0,0,0,0,54000,54000,0,0,0
"AFG","Afghanistan",2021-04-01,39835428,59745,2625,3291,0,0,0,0,240000,240000,0,0,0
"AFG","Afghanistan",2021-05-01,39835428,71838,2944,12093,0,0,0,0,600152,480226,119926,0,2859
