"iso_code","location","month","population","total_cases","total_deaths","new_cases_smoothed"
"ABW","Aruba",2020-03-01,107195,55,NA,NA
"ABW","Aruba",2020-04-01,107195,100,NA,5.429
"ABW","Aruba",2020-05-01,107195,101,3,0.143
"ABW","Aruba",2020-06-01,107195,103,3,0.286
"ABW","Aruba",2020-07-01,107195,121,3,1.571
"ABW","Aruba",2020-08-01,107195,2006,10,90.143
"ABW","Aruba",2020-09-01,107195,3963,27,85.429
"ABW","Aruba",2020-10-01,107195,4513,38,34.571
"ABW","Aruba",2020-11-01,107195,4845,45,15.714
"ABW","Aruba",2020-12-01,107195,5489,49,33.143
"ABW","Aruba",2021-01-01,107195,6966,59,68.714
"ABW","Aruba",2021-02-01,107195,7891,73,39.429
"ABW","Aruba",2021-03-01,107195,9443,86,70.571
"ABW","Aruba",2021-04-01,107195,10638,99,61.429
"ABW","Aruba",2021-05-01,107195,10985,107,19.429
"ABW","Aruba",2021-06-01,107195,11138,107,11.286
"ABW","Aruba",2021-07-01,107195,11730,110,53.714
"ABW","Aruba",2021-08-01,107195,14576,146,132.714
"ABW","Aruba",2021-09-01,107195,15500,166,61.571
"ABW","Aruba",2021-10-01,107195,15925,171,20.571
"ABW","Aruba",2021-11-01,107195,16354,174,17.857
"ABW","Aruba",2021-12-01,107195,20461,181,448.143
"ABW","Aruba",2022-01-01,107195,33000,193,845.857
"ABW","Aruba",2022-02-01,107195,33684,211,83.429
"ABW","Aruba",2022-03-01,107195,33732,212,8.857
"AFG","Afghanistan",2020-02-01,39835428,5,NA,NA
"AFG","Afghanistan",2020-03-01,39835428,166,NA,NA
"AFG","Afghanistan",2020-04-01,39835428,1827,60,105
"AFG","Afghanistan",2020-05-01,39835428,15180,254,653.857
"AFG","Afghanistan",2020-06-01,39835428,31445,739,758.571
"AFG","Afghanistan",2020-07-01,39835428,36628,1275,303.143
"AFG","Afghanistan",2020-08-01,39835428,38248,1406,96.286
"AFG","Afghanistan",2020-09-01,39835428,39354,1462,48.143
"AFG","Afghanistan",2020-10-01,39835428,41334,1533,92.429
"AFG","Afghanistan",2020-11-01,39835428,46215,1763,235.714
"AFG","Afghanistan",2020-12-01,39835428,52330,2189,240.857
"AFG","Afghanistan",2021-01-01,39835428,55023,2400,131.143
"AFG","Afghanistan",2021-02-01,39835428,55714,2443,55.286
"AFG","Afghanistan",2021-03-01,39835428,56454,2484,37.429
"AFG","Afghanistan",2021-04-01,39835428,59745,2625,180.571
"AFG","Afghanistan",2021-05-01,39835428,71838,2944,794.714
"AFG","Afghanistan",2021-06-01,39835428,118659,4871,2095.571
"AFG","Afghanistan",2021-07-01,39835428,147154,6708,1526.286
"AFG","Afghanistan",2021-08-01,39835428,153220,7118,528.571
"AFG","Afghanistan",2021-09-01,39835428,155174,7204,83.857
"AFG","Afghanistan",2021-10-01,39835428,156250,7280,45.286
"AFG","Afghanistan",2021-11-01,39835428,157289,7308,57.857
"AFG","Afghanistan",2021-12-01,39835428,158084,7356,46.714
"AFG","Afghanistan",2022-01-01,39835428,162926,7414,NA
"AFG","Afghanistan",2022-02-01,39835428,173659,7598,674.429
"AFG","Afghanistan",2022-03-01,39835428,174331,7622,169.286
"AGO","Angola",2020-03-01,33933611,7,NA,NA
"AGO","Angola",2020-04-01,33933611,27,2,1.571
"AGO","Angola",2020-05-01,33933611,86,4,3.286
"AGO","Angola",2020-06-01,33933611,284,13,13.571
"AGO","Angola",2020-07-01,33933611,1148,52,38.286
"AGO","Angola",2020-08-01,33933611,2654,108,67.571
"AGO","Angola",2020-09-01,33933611,4972,183,110.143
"AGO","Angola",2020-10-01,33933611,10805,284,260.286
"AGO","Angola",2020-11-01,33933611,15139,348,261.857
"AGO","Angola",2020-12-01,33933611,17553,405,90.429
"AGO","Angola",2021-01-01,33933611,19796,466,97.429
"AGO","Angola",2021-02-01,33933611,20807,508,51
"AGO","Angola",2021-03-01,33933611,22311,537,67.857
"AGO","Angola",2021-04-01,33933611,26652,596,197.143
"AGO","Angola",2021-05-01,33933611,34551,766,290.714
"AGO","Angola",2021-06-01,33933611,38849,900,259.857
"AGO","Angola",2021-07-01,33933611,42777,1011,154.429
"AGO","Angola",2021-08-01,33933611,47544,1217,200.143
"AGO","Angola",2021-09-01,33933611,56583,1537,456.571
"AGO","Angola",2021-10-01,33933611,64433,1710,602.857
"AGO","Angola",2021-11-01,33933611,65168,1733,75.429
"AGO","Angola",2021-12-01,33933611,81593,1770,1644.143
"AGO","Angola",2022-01-01,33933611,98116,1895,1716
"AGO","Angola",2022-02-01,33933611,98741,1900,90.286
"AGO","Angola",2022-03-01,33933611,98796,1900,13.571
"AIA","Anguilla",2020-03-01,15125,2,NA,NA
"AIA","Anguilla",2020-04-01,15125,3,NA,NA
"AIA","Anguilla",2020-05-01,15125,3,NA,0
"AIA","Anguilla",2020-06-01,15125,3,NA,0
"AIA","Anguilla",2020-07-01,15125,3,NA,0
"AIA","Anguilla",2020-08-01,15125,3,NA,0
"AIA","Anguilla",2020-09-01,15125,3,NA,0
"AIA","Anguilla",2020-10-01,15125,3,NA,0
"AIA","Anguilla",2020-11-01,15125,6,NA,0.286
"AIA","Anguilla",2020-12-01,15125,13,NA,0.571
"AIA","Anguilla",2021-01-01,15125,16,NA,0.429
"AIA","Anguilla",2021-02-01,15125,18,NA,0.143
"AIA","Anguilla",2021-03-01,15125,25,NA,0.571
"AIA","Anguilla",2021-04-01,15125,93,NA,9.143
